number,report,family,profile,brand,languages,templateKey,httpStatus,pdf,issueCount,mappingIssues,issues,blank
1,ETIKETA_PALETA_A4_SUFRO_GR_EN,pallet,a4,SUFRO,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_SUFRO_GR_EN.pdf,23,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα21. | Λείπει εικόνα: 1_Faethon_Logo_DARKPONY | Υπερχείλιση κειμένου στο πεδίο Ετικέτα32. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Υπερχείλιση κειμένου στο πεδίο Ετικέτα36. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.HMER_PARAGOGHS. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.ANALOSH. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.BAROS. | Απαιτείται αντιστοίχιση πεδίου προτύπου: PROIONTA.TEM_ANA_KIBOTIO,False
2,MEGALH_ETIKETA_FAETHON_GR_EN,thermal,large,FAETHON,el | en,thermal-large,200,samples/MEGALH_ETIKETA_FAETHON_GR_EN.pdf,13,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH,False
3,MEGALH_ETIKETA_PAPADOPOULOS_GR_EN,thermal,large,PAPADOPOULOS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_PAPADOPOULOS_GR_EN.pdf,14,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH,False
4,MEGALH_ETIKETA_MAVROUDIS_GR_EN,thermal,large,MAVROUDIS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_MAVROUDIS_GR_EN.pdf,14,"Brand MAVROUDIS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH,False
5,MEGALH_ETIKETA_IONIC_GR_EN,thermal,large,IONIC,el | en,thermal-large,200,samples/MEGALH_ETIKETA_IONIC_GR_EN.pdf,14,"Brand IONIC is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH,False
6,ETIKETA_PALETA_A4_MAVROUDIS_GR_EN,pallet,a4,MAVROUDIS,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_MAVROUDIS_GR_EN.pdf,23,"Brand MAVROUDIS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα21. | Λείπει εικόνα: 1_Faethon_Logo_DARKPONY | Υπερχείλιση κειμένου στο πεδίο Ετικέτα32. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Υπερχείλιση κειμένου στο πεδίο Ετικέτα36. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.HMER_PARAGOGHS. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.ANALOSH. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.BAROS. | Απαιτείται αντιστοίχιση πεδίου προτύπου: PROIONTA.TEM_ANA_KIBOTIO,False
7,ETIKETA_PALETA_A4_FAETHON_GR_EN,pallet,a4,FAETHON,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_FAETHON_GR_EN.pdf,21,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα21. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα32. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Υπερχείλιση κειμένου στο πεδίο Ετικέτα36. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.HMER_PARAGOGHS. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.ANALOSH. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.BAROS. | Απαιτείται αντιστοίχιση πεδίου προτύπου: PROIONTA.TEM_ANA_KIBOTIO,False
8,ETIKETA_PALETA_A4_PAPADOPOULOS_GR_EN,pallet,a4,PAPADOPOULOS,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_PAPADOPOULOS_GR_EN.pdf,23,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα21. | Λείπει εικόνα: 1_Faethon_Logo_DARKPONY | Υπερχείλιση κειμένου στο πεδίο Ετικέτα32. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Υπερχείλιση κειμένου στο πεδίο Ετικέτα36. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.HMER_PARAGOGHS. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.ANALOSH. | Υπερχείλιση κειμένου στο πεδίο PROIONTA.BAROS. | Απαιτείται αντιστοίχιση πεδίου προτύπου: PROIONTA.TEM_ANA_KIBOTIO,False
9,MEGALH_ETIKETA_PASSIAS_GR_EN,thermal,large,PASSIAS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_PASSIAS_GR_EN.pdf,14,"Brand PASSIAS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH,False
10,LISTA_DIARKEIA_ZOHS_PROIONTON,reference-list,a4,FAETHON,el,reference-list,200,samples/LISTA_DIARKEIA_ZOHS_PROIONTON.pdf,1,No report-specific reference-list dataset or selector; shared template only.,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
