number,report,family,profile,brand,languages,templateKey,httpStatus,pdf,issueCount,mappingIssues,issues,blank
1,ETIKETA_PALETA_A4_SUFRO_GR_EN,pallet,a4,SUFRO,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_SUFRO_GR_EN.pdf,13,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
2,MEGALH_ETIKETA_FAETHON_GR_EN,thermal,large,FAETHON,el | en,thermal-large,200,samples/MEGALH_ETIKETA_FAETHON_GR_EN.pdf,12,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
3,MEGALH_ETIKETA_PAPADOPOULOS_GR_EN,thermal,large,PAPADOPOULOS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_PAPADOPOULOS_GR_EN.pdf,13,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
4,MEGALH_ETIKETA_MAVROUDIS_GR_EN,thermal,large,MAVROUDIS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_MAVROUDIS_GR_EN.pdf,13,"Brand MAVROUDIS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
5,MEGALH_ETIKETA_IONIC_GR_EN,thermal,large,IONIC,el | en,thermal-large,200,samples/MEGALH_ETIKETA_IONIC_GR_EN.pdf,15,"Brand IONIC is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Συμπληρώστε το ειδικό πεδίο ετικέτας: προέλευση πελάτη (IONIC) | Συμπληρώστε το ειδικό πεδίο ετικέτας: κωδικός προϊόντος πελάτη (IONIC),False
6,ETIKETA_PALETA_A4_MAVROUDIS_GR_EN,pallet,a4,MAVROUDIS,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_MAVROUDIS_GR_EN.pdf,13,"Brand MAVROUDIS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
7,ETIKETA_PALETA_A4_FAETHON_GR_EN,pallet,a4,FAETHON,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_FAETHON_GR_EN.pdf,12,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
8,ETIKETA_PALETA_A4_PAPADOPOULOS_GR_EN,pallet,a4,PAPADOPOULOS,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_PAPADOPOULOS_GR_EN.pdf,13,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
9,MEGALH_ETIKETA_PASSIAS_GR_EN,thermal,large,PASSIAS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_PASSIAS_GR_EN.pdf,13,"Brand PASSIAS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
10,LISTA_DIARKEIA_ZOHS_PROIONTON,reference-list,a4,FAETHON,el,list-shelf-life,200,samples/LISTA_DIARKEIA_ZOHS_PROIONTON.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
